Nome;Categoria;Unidade;Data;Imagem;descricao
CONTAÇÃO DE HISTÓRIA E DINÂMICA: REDE DE APOIO AMIZADE QUE SUSTENTA – COM EQUIPE BIBLIOTECA;Contação de História;Brasilândia;21/05/26;https://www.fabricasdecultura.org.br/wp-content/uploads/2026/03/2026.03.13_CONTACAO-DE-HISTORIA-E-DINAMICA-REDE-DE-APOIO-AMIZADE-QUE-SUSTENTA_CRED-GEMINI-IMAGE-CREATOR.jpg;E se a amizade fosse uma rede capaz de nos sustentar? Nesta atividade especial, crianças e jovens serão convidados a mergulhar em uma história sensível inspirada nas personagens Zuri e Dulce, que mostra como os vínculos de amizade, cuidado e companheirismo nos ajudam a crescer e enfrentar desafios. A partir da escuta da narrativa, o público participa de uma dinâmica coletiva que simboliza, com fios de lã, as conexões que criamos ao longo da vida — uma verdadeira rede de apoio construída entre todos.
VIRADA CULTURAL 2026 – O CIRCO QUE FUGIU COM COLETIVO XOXO;Circo;Brasilândia;23/05/26;https://www.fabricasdecultura.org.br/wp-content/uploads/2026/03/p_15732448706979025a7542f9.65281398.png;O circo enfrenta uma crise quando seu dono desaparece, deixando para trás dívidas e incertezas. Segredos vêm à tona entre os funcionários, até que um traidor é revelado, espalhando o medo. A jornalista Simone decide investigar o mistério, enquanto o destino de todos permanece incerto.
VIRADA CULTURAL 2026 – AULÃO DE ZUMBA;Dança;Vila Nova Cachoeirinha;24/05/26;https://www.fabricasdecultura.org.br/wp-content/uploads/2026/04/p_186457252869bd49e603b223.17409530.jpeg;"A Fábrica de Cultura vai participar da Virada Cultural!! Venha participar de um aulão aberto de zumba com a professora Ana Pantera. A atividade mistura ritmos latinos, brasileiros e fitdance, com muita energia e diversão.
Venha participar!!"
CELEBRANDO A MATA ATLÂNTICA: OS SONS DA FLORESTA E A ARTE – COM EQUIPE BIBLIOTECA;Meio ambiente;Brasilândia;27/05/26;https://www.fabricasdecultura.org.br/wp-content/uploads/2026/03/2026.03.13_CELEBRANDO-A-MATA-ATLANTICA-OS-SONS-DA-FLORESTA-E-A-ARTE_CRED-GEMINI-IMAGE-CREATOR-2.jpg;Venha vivenciar uma experiência sensorial que une arte, escuta e natureza. Nesta intervenção artística, os participantes serão convidados a mergulhar nos sons da Mata Atlântica, como seus ventos, folhas e animais, e transformá-los em inspiração para a criação artística. Por meio da audição atenta e da livre expressão nas artes visuais, cada participante poderá explorar cores, formas e sentimentos despertados pelos sons da floresta.
SE OS TUBARÕES FOSSEM HOMENS? COMO SERIA O TRABALHO NO FUNDO DO MAR – COM EQUIPE BIBLIOTECA;Biblioteca;Vila Nova Cachoeirinha;27/05/26;https://www.fabricasdecultura.org.br/wp-content/uploads/2026/03/2026.03.20_SE-OS-TUBAROES-FOSSEM-HOMENS-COMO-SERIA-O-TRABALHO-NO-FUNDO-DO-MAR_CRED-GEMINI-IMAGE-CREATOR.jpg;E se o fundo do mar funcionasse como o nosso mundo? A partir da leitura da provocativa fábula Se os Tubarões Fossem Homens, de Bertolt Brecht, esta mediação convida o público a mergulhar em uma história cheia de metáforas sobre trabalho, poder e convivência. Durante a atividade, os participantes irão explorar a narrativa de forma coletiva, refletindo sobre justiça, cooperação e respeito nas relações humanas. Após a leitura, a imaginação entra em cena: como seria um mar mais justo para todos os peixes? Por meio de desenhos, pequenas histórias ou quadrinhos, cada participante poderá imaginar e representar esse novo oceano possível.
CONTAÇÃO DE HISTÓRIAS: CONTOS POPULARES E CONTOS PIRAPORIANOS, COM JANINE RODRIGUES;Biblioteca;Vila Nova Cachoeirinha;28/05/26;https://www.fabricasdecultura.org.br/wp-content/uploads/2026/03/JANINE-RODRIGUES_divulgacao-1-scaled.jpg;Prepare-se para mergulhar em um universo de imaginação, afeto e descobertas com a contação de histórias de Janine Rodrigues! Entre contos populares cheios de mistério e coragem, como o do menino Pedro, e narrativas sensíveis que falam sobre identidade e pertencimento, o público é convidado a viajar por histórias que tocam o coração. Com uma linguagem acolhedora e envolvente, Janine conecta memórias da infância à riqueza da cultura afro-brasileira, despertando curiosidade e emoção. Ao final, ainda compartilha os bastidores de suas criações, aproximando ainda mais o público do poder das histórias.
OFICINA CRIAÇÃO E ADAPTAÇÃO DE ROTEIRO PARA HISTÓRIAS EM QUADRINHOS – COM EDE GALILEU;Biblioteca;Brasilândia;29/05/26;https://www.fabricasdecultura.org.br/wp-content/uploads/2026/03/EDE-GALILEU_por-Sander-Junior.jpg;Nesta oficina, os participantes serão convidados a mergulhar no universo das histórias em quadrinhos e descobrir como transformar ideias em narrativas envolventes. A atividade apresenta os fundamentos da criação e adaptação de roteiros para HQs, explorando a relação entre texto e imagem na construção das histórias. Durante o encontro, serão abordados elementos como enredo, estrutura narrativa e criação de personagens. De forma prática e acessível, o público será estimulado a desenvolver suas próprias histórias. Uma oportunidade para quem gosta de contar histórias e deseja explorar o potencial criativo das HQs.
CINE MÃE – ESPECIAL DIA DAS MÃES;Cinema;Brasilândia;30/05/26;https://www.fabricasdecultura.org.br/wp-content/uploads/2026/03/p_2090828791697b693b54d826.27336578.jpg;Em maio, o Cine Fábrica apresenta uma sessão especial em homenagem ao Dia das Mães. Selecionamos uma coleção de filmes que destacam histórias inspiradoras e celebram a coragem, o talento e o amor de mãe. Traga seus filhos para curtir esse momento com você. Teremos pipoca à vontade, para deixar essa sessão ainda mais especial.
OFICINA DE MANUTENÇÃO RESIDENCIAL PARA MULHERES COM: JAQUE CONSERTA;Oficina;Brasilândia;30/05/26;https://www.fabricasdecultura.org.br/wp-content/uploads/2026/03/p_20052619286973d853d99ca6.77217400.jpeg;A manutenção residencial é tradicionalmente vista como uma atividade masculina, o que gera dependência e limita a autonomia das mulheres. Jaque Conserta rompe com esse estereótipo, oferecendo não apenas serviços especializados, mas também capacitando mulheres para realizarem seus próprios reparos. O projeto tem como missão contribuir para a redução das desigualdades de gênero, promovendo a autoconfiança e a independência das mulheres.
OFICINA LIVRO BICHO – COM MÍNIMO DIÁRIO;Biblioteca;Brasilândia;02/06/26;https://www.fabricasdecultura.org.br/wp-content/uploads/2026/04/Oficina-Livro-Bicho-Minimo-Diario_cred-Paulo-Olua.jpeg;Que tal embarcar em uma aventura onde a imaginação ganha patas, asas, cascos ou tudo isso junto? Na oficina Livro Bicho, o convite é brincar de inventar criaturas e histórias a partir da pergunta: que bichos vivem dentro de você? Com papéis, tesouras e muita criatividade, crianças e adultos exploram recortes, dobras e colagens para criar animais.
A INFÂNCIA EM TEMPOS DE COPA DO MUNDO – COM EQUIPE BIBLIOTECA;Biblioteca;Vila Nova Cachoeirinha;05/06/26;https://www.fabricasdecultura.org.br/wp-content/uploads/2026/04/2026.04.22_A-INFANCIA-EM-TEMPOS-DE-COPA-DO-MUNDO_CRED-CHATGPT-IMAGE-CREATOR.jpg;Já pensou em revisitar a infância por meio do cinema e da escrita? Nesta atividade, os participantes assistirão a um curta ambientado na Copa do Mundo de 2006, que retrata a infância periférica marcada por amizade, sonhos e futebol. Após a exibição, uma roda de conversa abre espaço para trocas e reflexões, seguida de uma oficina de escrita criativa. A proposta convida cada participante a transformar memórias e desejos em palavras. Uma experiência sensível que conecta identidade, imaginação e expressão!
ESPECIAL COPA DO MUNDO: CAMINHOS DA MEMÓRIA – FESTA DO FUTEBOL;Jogos e Brincadeiras;Brasilândia;09/06/26;https://www.fabricasdecultura.org.br/wp-content/uploads/2026/04/p_959527937698f221fcb88f2.84759157.jpg;"O público é convidado a vivenciar a experiência do jogo “Caminhos da Memória: Festa do Futebol”, em uma proposta interativa que une o físico e o digital. Ao participar, as pessoas exploram o espaço em uma divertida caça a códigos, colecionam figurinhas e desbloqueiam desafios inspirados nas memórias das Copas do Mundo e na cultura do futebol brasileiro.
A atividade é livre e direcionada a todos os públicos. É conduzida pelos mediadores culturais da Game e Arte, que incentivam a troca, a descoberta e o jogar junto, transformando o ambiente em um grande campo de jogo, nostalgia e convivência."
MUSEU AFETIVO: MEMÓRIAS QUE NOS FORMAM – COM EQUIPE BIBLIOTECA;Biblioteca;Brasilândia;09/06/26;https://www.fabricasdecultura.org.br/wp-content/uploads/2026/04/2026.04.14_MUSEU-AFETIVO-MEMORIAS-QUE-NOS-FORMAM_CRED-CHATGPT-IMAGE-CREATOR.jpg;Nem todo museu guarda coisas raras, alguns guardam pedaços de quem a gente é. No Museu Afetivo, objetos simples ganham voz: uma chave, um brinquedo, um bilhete… e, de repente, viram histórias. Cada participante transforma sua lembrança em uma exposição, criando etiquetas, sentidos e conexões. Aos poucos, a biblioteca se reinventa como um território de memórias compartilhadas.
CONTAÇÃO DE HISTÓRIAS: DARCY, A PRINCESA DRAGÃO – COM CONTOS CORAJOSOS;Biblioteca;Vila Nova Cachoeirinha;10/06/26;https://www.fabricasdecultura.org.br/wp-content/uploads/2026/04/CONTACAO-DE-HISTORIAS_-DARCY-A-PRINCESA-DRAGAO-COM-CONTOS-CORAJOSOS_divulgacao.jpeg;Prepare-se para mergulhar em uma história encantadora com “Darcy, a princesa dragão”: uma contação de histórias performática que convida o público infantil a refletir sobre identidade, diversidade e aceitação. Com elementos de teatro, música e expressão corporal, a narrativa cria uma experiência lúdica e envolvente, estimulando a imaginação e o vínculo com a literatura. Ao final, uma atividade propõe que as crianças reinventem a personagem a partir de suas próprias identidades.
BELEZA SUSTENTÁVEL: ECOJOIAS, CRIANDO COM RECICLAGEM – COM EQUIPE BIBLIOTECA;Biblioteca;Vila Nova Cachoeirinha;11/06/26;https://www.fabricasdecultura.org.br/wp-content/uploads/2026/04/2026.04.22_BELEZA-SUSTENTAVEL-ECOJOIAS-CRIANDO-COM-RECICLAGEM_CRED-GEMINI-IMAGE-CREATOR.jpg;Que tal transformar materiais recicláveis em acessórios únicos e cheios de estilo? Nesta atividade, o público é convidado a explorar a criação de brincos e colares sustentáveis, unindo criatividade, consciência ambiental e expressão artística.
CINE FÁBRICA VNC;Cinema;Vila Nova Cachoeirinha;12/06/26;https://www.fabricasdecultura.org.br/wp-content/uploads/2026/04/p_1625360310698a2c19e5d050.62774118.png;"A Fábrica de Cultura Vila Nova Cachoeirinha tem o prazer de convidar a todos para vivenciar a experiência de assistir a uma exibição em uma sala de cinema no lugar que vocês já conhecem: a nossa unidade! Trazemos atrações que agradam desde crianças até adultos.
Esperamos vocês para a próxima sessão. Venham assistir a um bom filme!"
WORKSHOP: COMO PRODUZIR UM SHOW DE K-POP NO BRASIL – COM CAROL AKIOKA;Bate-papo;Vila Nova Cachoeirinha;13/06/26;https://www.fabricasdecultura.org.br/wp-content/uploads/2026/04/Design-sem-nome-14.png;"Neste workshop exclusivo, Carol Akioka apresenta os bastidores reais da negociação, do planejamento e da execução de shows de artistas coreanos no Brasil — desde o primeiro contato até os desafios da entrega do evento e das interações com os fãs.
Uma imersão para quem deseja entender como funciona, de fato, a indústria do entretenimento sul-coreano na América Latina."
TRAÇOS DO TERRITÓRIO – COM EQUIPE BIBLIOTECA;Biblioteca;Brasilândia;16/06/26;https://www.fabricasdecultura.org.br/wp-content/uploads/2026/04/2026.04.14_TRACOS-DO-TERRITORIO_CRED-GEMINI-IMAGE-CREATOR.jpg;O território também mora nos rostos que encontramos. Em Traços do Território, o olhar se transforma em gesto, e o gesto em forma: cada participante observa o outro e traduz essa percepção em criação. Entre mãos e matéria, surgem rostos que não são cópias, mas encontros. A atividade revela diferenças, aproxima histórias e dá forma ao que sentimos.
OFICINA LIVRO BICHO – COM MÍNIMO DIÁRIO;Biblioteca;Vila Nova Cachoeirinha;16/06/26;https://www.fabricasdecultura.org.br/wp-content/uploads/2026/04/Oficina-Livro-Bicho-Minimo-Diario_cred-Paulo-Olua.jpeg;Que tal embarcar em uma aventura onde a imaginação ganha patas, asas, cascos ou tudo isso junto? Na oficina Livro Bicho, o convite é brincar de inventar criaturas e histórias a partir da pergunta: que bichos vivem dentro de você? Com papéis, tesouras e muita criatividade, crianças e adultos exploram recortes, dobras e colagens para criar animais.
CONTAÇÃO DE HISTÓRIAS: DARCY, A PRINCESA DRAGÃO – COM CONTOS CORAJOSOS;Biblioteca;Brasilândia;17/06/26;https://www.fabricasdecultura.org.br/wp-content/uploads/2026/04/CONTACAO-DE-HISTORIAS_-DARCY-A-PRINCESA-DRAGAO-COM-CONTOS-CORAJOSOS_divulgacao.jpeg;Prepare-se para mergulhar em uma história encantadora com “Darcy, a princesa dragão”: uma contação de histórias performática que convida o público infantil a refletir sobre identidade, diversidade e aceitação. Com elementos de teatro, música e expressão corporal, a narrativa cria uma experiência lúdica e envolvente, estimulando a imaginação e o vínculo com a literatura. Ao final, uma atividade propõe que as crianças reinventem a personagem a partir de suas próprias identidades.
CINE BRASILIDADES;Cinema;Brasilândia;18/06/26;https://www.fabricasdecultura.org.br/wp-content/uploads/2026/04/Design-sem-nome-8.png;No mês de junho, comemoraremos o Cinema Brasileiro com a exibição de um filme renomado, que nos traz orgulho e reforça o sentimento de pertencimento em sermos brasileiros. O reconhecimento e a chegada a espaços de destaque na crítica mundial têm nos motivado a fomentar e difundir cada vez mais as obras nacionais e independentes. Bora com a gente para mais uma exibição de Cine na Fábrica!
HISTÓRIAS DE PARTIDAS E CHEGADAS – QUANDO PRECISAMOS RECOMEÇAR – COM EQUIPE BIBLIOTECA;Biblioteca;Brasilândia;19/06/26;https://www.fabricasdecultura.org.br/wp-content/uploads/2026/04/2026.04.14_HISTORIAS-DE-PARTIDAS-E-CHEGADAS_CRED-GEMINI-IMAGE-CREATOR.jpg;Há momentos em que a vida pede pausa… e recomeço. Em Histórias de Partidas e Chegadas, cada página abre caminhos para sentir, imaginar e entender o que significa deixar um lugar e encontrar outro. Entre histórias e partilhas, surgem pontes invisíveis feitas de escuta e cuidado.
MOSTRA DE CINEMA BRASILEIRO – COM EQUIPE BIBLIOTECA;Biblioteca;Vila Nova Cachoeirinha;19/06/26;https://www.fabricasdecultura.org.br/wp-content/uploads/2026/04/2026.04.22_MOSTRA-DE-CINEMA-BRASILEIRO_CRED-CHATGPT-IMAGE-CREATOR.jpg;Nesta mostra especial, o público é convidado a assistir a curtas-metragens que retratam diferentes realidades, memórias e identidades do nosso país. Inspirada em festivais de cinema, a atividade propõe momentos de conversa após cada exibição, com troca de ideias e curiosidades. Uma oportunidade de conhecer o audiovisual independente e refletir sobre arte e território. Venha viver essa experiência coletiva e mergulhar na sétima arte brasileira!
OFICINA ESTRATÉGIA DE DIVULGAÇÃO AUDIOVISUAL PARA MÚSICOS: COM MONOMITO FILMES;Bate-papo;Brasilândia;21/06/26;https://www.fabricasdecultura.org.br/wp-content/uploads/2026/04/p_3139794076978ccf16d7f65.94237108-1-scaled.jpg;A aula apresenta estratégias práticas de distribuição e divulgação de material digital, mostrando como artistas independentes podem posicionar sua identidade, planejar lançamentos, utilizar dados e redes sociais e transformar músicas em campanhas consistentes para construir carreira e alcançar o público.
ARTE NA BIBLIOTECA COM TINTA INVISÍVEL – COM EQUIPE BIBLIOTECA;Biblioteca;Brasilândia;23/06/26;https://www.fabricasdecultura.org.br/wp-content/uploads/2026/04/2026.04.14_ARTE-NA-BIBLIOTECA-COM-TINTA-INVISIVEL_CRED-CHATGPT-IMAGE-CREATOR.png;Venha se divertir em mais uma experimentação artística em nossa biblioteca! Utilizando materiais acessíveis, que podem ser encontrados em casa, os participantes irão criar uma espécie de “tinta invisível” para escrever mensagens secretas ou produzir desenhos que se revelam por meio de uma fórmula mágica. Uma atividade lúdica e criativa, onde mistério e imaginação conduzem cada descoberta.
BOI BUMBÁ CUPUAÇU – COM EQUIPE BIBLIOTECA;Biblioteca;Vila Nova Cachoeirinha;24/06/26;https://www.fabricasdecultura.org.br/wp-content/uploads/2026/04/2026.04.22_BOI-BUMBA-CUPUACU_CRED-CHATGPT-IMAGE-CREATOR.jpg;Que tal mergulhar nas cores, ritmos e histórias do Boi Bumbá? Nesta sessão de Bibliocine, o público é convidado a conhecer a tradição do Bumba-Meu-Boi e sua presença no Morro do Querosene, em São Paulo. O documentário revela a força da cultura popular, marcada por elementos afro-indígenas, celebração e memória coletiva. Venha viver a magia dessa manifestação cultural brasileira!
ORGULHO DE SER: HISTÓRIAS DE RESPEITO E DIVERSIDADE – COM EQUIPE BIBLIOTECA;Biblioteca;Brasilândia;26/06/26;https://www.fabricasdecultura.org.br/wp-content/uploads/2026/04/2026.04.14_ORGULHO-DE-SER-HISTORIAS-DE-RESPEITO-E-DIVERSIDADE_CRED-GEMINI-IMAGE-CREATOR.jpg;Em um mundo feito de muitas cores, vozes e formas de existir, cada história carrega o direito de ser vivida com orgulho. Nesta atividade, a biblioteca se transforma em um espaço de escuta e acolhimento, onde palavras, afetos e descobertas se encontram sem medo. A partir da leitura e da conversa, surgem reflexões sobre identidade, respeito e a beleza das diferenças que nos tornam únicos. Em seguida, mãos pequenas e grandes dão forma ao “Painel do Orgulho de Ser”, onde cada criação é um pedaço de quem somos e do que sonhamos ser.
KARAOKÊ NA BIBLIO – COM EQUIPE BIBLIOTECA;Biblioteca;Vila Nova Cachoeirinha;26/06/26;https://www.fabricasdecultura.org.br/wp-content/uploads/2026/04/2026.04.22_KARAOKE-NA-BIBLIO_CRED-GEMINI-IMAGE-CREATOR.jpg;Que tal soltar a voz e celebrar juntos? No Karaokê na Biblio, a biblioteca se transforma em um espaço de música, diversão e encontro, reunindo participantes para cantar, dançar e compartilhar experiências. A atividade marca o encerramento do semestre com muita energia, valorizando as vivências construídas ao longo do período. Venha participar dessa celebração cheia de arte e alegria!
FESTA JUNINA DA FÁBRICA VNC – COM ARRAIÁ NA KOMBI, COLETIVO FORRÓ NA RUA E BLOCO URUBÓ;Música;Vila Nova Cachoeirinha;27/06/26;https://www.fabricasdecultura.org.br/wp-content/uploads/2026/04/p_98848601569960fb03cea76.88537121.jpg;"A Festa Junina da Fábrica de Cultura Vila Nova Cachoeirinha (VNC) acontece no dia 27 de junho de 2026 (sábado), a partir das 13h, com uma programação especial que celebra o São João por meio da música, da cultura popular e de atividades para todas as idades. Em clima festivo, a Unidade se transforma em um grande arraial, reunindo tradição, convivência e muita animação.
A festa conta com o Arraiá na Kombi e o Coletivo Forró na Rua, que comandam a trilha sonora com uma discotecagem 100% em vinil, trazendo clássicos do forró e criando uma experiência sonora autêntica e envolvente. Outro destaque é a apresentação do Bloco Urubó, que chega com toda sua energia para animar o público em um espetáculo vibrante e cheio de presença cênica.
Além das atrações musicais, o evento oferece touro mecânico e barracas de alimentação, garantindo diversão e sabores típicos para toda a família. A proposta é proporcionar um espaço de encontro e celebração, valorizando as manifestações culturais e fortalecendo os vínculos com o território."
ARRAIÁ DA BRASA 2026 – COM FORRÓ COMPOSTO, DJ E QUADRILHA;Shows / Apresentações Musicais;Brasilândia;27/06/26;https://www.fabricasdecultura.org.br/wp-content/uploads/2026/04/Design-sem-nome-7.png;"O Arraiá da Brasa da Fábrica de Cultura Brasilândia acontece no dia 27 de junho de 2026 (sábado), das 15h às 20h, celebrando o clima de São João com muita música, dança, tradição e atividades gratuitas para todas as idades. Em um ambiente repleto de bandeirinhas, cores e ritmos nordestinos, o evento convida o público a vivenciar a cultura popular brasileira de forma afetiva, participativa e cheia de significado.
A programação integra apresentações musicais, vivências de dança e atividades lúdicas que fortalecem o senso de comunidade e pertencimento. Um dos destaques é o Forró Composto, que embala o público ao som de xote, baião e piseiro, acompanhado por DJ e apresentações de quadrilha que unem tradição e contemporaneidade. A proposta valoriza o protagonismo feminino, trazendo a dança como espaço de expressão, identidade e empoderamento, onde cada participante é convidada a celebrar suas raízes e sua potência.
Para as crianças e famílias, o evento também contará com oficinas e brincadeiras juninas, oferecendo experiências criativas e interativas como slime, confecção de pulseiras e atividades com massinha. A iniciativa marca ainda a celebração dos 12 anos da Fábrica de Cultura Brasilândia, reforçando sua trajetória de impacto cultural no território.
Cronograma – 27/06/2026 (sábado)
15h às 20h
• Arraiá da Brasa com Forró Composto, DJ e Quadrilha
15h30 às 17h30
• Oficinas e Brincadeiras Juninas (slime, pulseiras e massinha)"
CINE FÉRIAS;Cinema;Brasilândia;14/07/26;https://www.fabricasdecultura.org.br/wp-content/uploads/2026/05/pexels-tima-miroshnichenko-7991579-1-2-1-1-scaled.jpg;O Cine Férias apresenta uma programação variada incluindo filmes nacionais, animações,, desenhos e series para todas as idade. As exibições são realizadas em diversos formatos. Todo mês, novos títulos te esperam na sessão de filmes da Fábrica de Cultura Brasilândia. Não perca!
ATIVIDADE DE FÉRIAS: VIVÊNCIA NO TÊNIS DE MESA – REGRAS E TÉCNICAS;Oficina;Vila Nova Cachoeirinha;17/07/26;https://www.fabricasdecultura.org.br/wp-content/uploads/2026/05/Captura-de-tela-do-site.png;O público participante irá conhecer os benefícios da prática do tênis de mesa para a saúde, além de aprender as regras e técnicas desse esporte, que pode ser praticado por todas as faixas etárias.
OFICINA DE LIBRAS COM: LIBRAS NA QUEBRADA [FORMAÇÃO FUNCIONÁRIOS];Oficina;Brasilândia;18/07/26;https://www.fabricasdecultura.org.br/wp-content/uploads/2026/05/20220806_113350-Libras-na-Quebrada-1-scaled.jpg;Oficina de Libras com Gy Vilanova. A oficina de Libras, tem como objetivo ensinar sinais básicos do dia a dia, proporcionando ao público participante uma aprendizagem de forma lúdica, acessível e interativa.
ESPECIAL DE FÉRIAS: ARENA FUTEBOL DE CARROS – TORNEIO DE JOGOS;Game;Brasilândia;23/07/26;https://www.fabricasdecultura.org.br/wp-content/uploads/2026/05/Ferias_Games_TriMais_26-01-44-scaled.jpg;Para trazer uma dinâmica diferente e eletrizante ao tema Copa do Mundo, apresentamos a Arena Futebol de Carros (com o sucesso mundial Rocket League). Imagine uma mistura de futebol com carros estilo ‘Hot Wheels’: o objetivo é acelerar e empurrar a bola gigante para o gol.
